Altium Designer Pick and Place Locations
E:\RP2040_Projekty\Polanduino (Classic Arduino)\Project Outputs for Polanduino_v1\Pick Place for Polanduino_v1.csv

========================================================================================================================
File Design Information:

Date:       30.11.22
Time:       07:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U502","TD1583","TopLayer","ICC_SO8_SOP8_490X390X160_P127_R","17.4500","27.8500","360","IC; Buck regulator;"
"R512","15k","TopLayer","RES_0603_R","14.2500","36.9000","90","Resistor; Thick Film; 15k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R511","15k","TopLayer","RES_0603_R","16.4000","36.1500","180","Resistor; Thick Film; 15k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R505","5k1","TopLayer","RES_0603_R","22.6000","25.4500","270","Resistor; Thick Film; 5k1; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R504","15k","TopLayer","RES_0603_R","21.2000","25.4500","270","Resistor; Thick Film; 15k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R503","2k","TopLayer","RES_0603_R","1.5000","29.9500","270","Resistor; Thick Film; 2k2; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R502","6.2k","TopLayer","RES_0603_R","4.3000","29.9500","270","Resistor; Thick Film; GENERIC; TBD; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"Q900","PMOS","TopLayer","PKG_SOT23-3_TO236","10.2000","33.8500","360","Transistor; PMOS;"
"L500","15uH","TopLayer","IND_SUM_0630CDMCCDS_700X660X280_R","9.9000","27.8000","180","Inductor;"
"D502","SS13 (1A/30V)","TopLayer","DIO_SMA_UNI_R","18.8000","14.0500","180","Diode; Schottky; Unipolar;"
"D500","SS13 (1A/30V)","TopLayer","DIO_SMA_UNI_R","15.8500","33.4500","360","Diode; Schottky; Unipolar;"
"C776","100nF","TopLayer","CAP_0603_R","16.4000","37.5500","180","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C504","100uF/35V","TopLayer","CAP_SMD_SIZE_D8","19.3500","19.7000","270","Capacitor; Polarized;"
"C503","DNP","TopLayer","CAP_0603_R","2.9000","29.9500","270","Capacitor; MLCC; DNP; TBD; TBD; TBD; DO NOT PLACE; SMD; 0603 (1608);"
"C502","22uF/16V","TopLayer","CAP_0805_R","3.3500","27.5000","360","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0805 (2012);"
